Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Same results
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both lists contain information requested
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,both lists are correct.
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both are correct
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both Y and X list correct answers
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,The both list have correct answer.
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both Y and X list correct answers
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Y has more universities
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Y is more relevant. A higher number of doctoral students
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,BOTH OPTIONS ARE THE SAME
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Famous composers
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Y is better because its more accurate
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,In-degrees Approach,List X contain information requested
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,in list x there are any classical music composers
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,In-degrees Approach,Is more compatable.
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,X and Y both answer the question
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,same
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both of X and Y are good and correct
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,In-degrees Approach,X list includes movies more popular
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,List x is irrelevant
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,Looks more relevant
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,X is better because it answers the question
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,in list Y there are any movie directed by Steven Spilberg
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,Both film not contain Spielberg movies
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,"In table X we have one Spielber movie who have award, in Y none."
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,In-degrees Approach,MOre relevant
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Both lists contain information requested but the list Y is most relevant
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,X and Y has correct answers
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both correct
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Y lists better anwsers
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,X is more accurate than Y
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,BOTH OPTIONS ARE THE SAME
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,both X and Y is not answer the question
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,y has cartoon characters
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,Y  list does not contain police comedies
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,X and Y both answer the question
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Looks same
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both X and Y present right answers
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,"The both list are the list of teams, their managers and their locations."
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both have the same teams
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,X and Y both answer the question
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,Looks same
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,Both X and Y present correct answers
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,The both are the lists of employees and their alma maters.
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,X and Y have similar lists
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,In both same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,Both lists contain information requested
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,correct answers from both lists.
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,Both are correct
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,Both Y and X list correct answers
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both same
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,X and Y both answer the question
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both lists contain information requested
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,both are list of people who died in WWII and their resting places
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,List Y is longer.
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,X and Y both answer the question
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,In-degrees Approach,More relevant
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both of the lists are okay
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,The both list are correct and all actors are the producers in the same time.
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,In-degrees Approach,Our Appproach,In-degrees Approach,X is more accurate has movies and TV series. Y also have concerts
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Only Charlie Chaplin
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Y is better because it answers the question
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,list x is not of Charlie Chaplin movies
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,Y lists the correct answers
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,Our Approach,X did not containg Charlie Chaplin movies
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,"The better choice is X, with more Canes movies."
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,Both Y and X list correct answers
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,Y contains persons who are not directors
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,Our Approach,All movies in X were in Cannes Film Festival
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Our Appproach,In-degrees Approach,same,BOTH OPTIONS ARE THE SAME
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,In-degrees Approach,More famous
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both lists contain information requested
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,X and Y has good options.
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,In-degrees Approach,Our Appproach,same,Both are correct
