Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question and are the same.
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both lists have the same information
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same mottos
26,List of universities; their mottos; their homepages; and their number of postgraduate students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,IDENTICAL
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question.
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,X and Y identical lists
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both are correct
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,sa
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,fjfgjghj
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same schools
28,List of universities; their locations; and their number of doctoral students ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both lists have the same information
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same list
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,music
29,List of classical music composers movies about gunfights and battles ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same movies
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,its the same list
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,both lists are the same
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,both Lists contain movies for which the stars and the directors have won awards
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question and are the same.
30,List of movies for which the stars and the directors have won awards ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,sa
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,the same  in both columns
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,lists are the same
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question and are the same.
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,sa
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,asasqw
32,List of Spielberg award-wining movies ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,they both don't have spielberg
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,Our Approach,ONLY Y HAS SHOW ABOUT SCHOOL
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,Our Approach,it's more accurate
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,both Lists contain directors of comedy shows or movies about school and friends
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question.
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,sa
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same list
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same movies
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both lists have the same information
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,both have teams
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both same
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same quality answer
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,List of teams; their managers; and their locations
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same
36,List of employees and their alma maters ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same
36,List of employees and their alma maters ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
36,List of employees and their alma maters ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both lists have the same information
36,List of employees and their alma maters ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same names
36,List of employees and their alma maters ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,IDENTICAL
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same list
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question.
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,asa
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,X and Y both answer the question
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same names
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,have the same names
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,X and Y both answer the question
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same name
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,lists are the same
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question and are the same.
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,sa
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,KL-DIV Approach,asaqwasasasa
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same movies
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,they are the same groups
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,sa
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both lists have the same information
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,X and Y both answer the question.So X and Y are the same.
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,its the same list
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,They are completly the same.
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Same lists with names
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,"X and Y both answer the question, and both include   Cannes Festival Film movies that were directed; writtern; and starred by the same person. So X and Y are the same"
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,hjkjjk
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same festivals
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,its the same list
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,They are completly the same
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Bill Clinton is in both same number of times
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,"X and Y both answer the question, and both include  authors-politicians who graduated from a university in England  . So X and Y are the same"
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question and are the same.
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,hjkhj
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same polliticans
188,List of black comedy movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same list
188,List of black comedy movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same
188,List of black comedy movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
188,List of black comedy movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same items
188,List of black comedy movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same movies
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,its the same list
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,both lists are the same
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,both list contain rock stars from Ottawa
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,sa
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,both lists are the same
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question and are the same.
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,both contain comedy movies
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,sa
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same movies
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question.
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,X and Y identical lists
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both are correct
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,sa
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,asdasdqed
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same actors
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both lists have the same information
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,both the same
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same quality answer
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question and are the same.
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both lists have the same information
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same names
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same quality answer
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same names
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,Both fully answer the question.
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,lists are identical
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,sa
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,KL-DIV Approach,Our Approach,same,same schools
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question and are the same.
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both lists have the same information
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,same actors
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,IDENTICAL
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Our Approach,KL-DIV Approach,same,Both fully answer the question.
