Result_ID,Result,Query_ID,Query_Natural_Language,"Worker_Assessment(Popular result=1, Unpopular result=2)"
17366,"George_Brett_(general)  battle  World_War_II George_Brett_(general)  restingPlace  Winter_Park,_Florida ",43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",2
17366,"George_Brett_(general)  battle  World_War_II George_Brett_(general)  restingPlace  Winter_Park,_Florida ",43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",2
17366,"George_Brett_(general)  battle  World_War_II George_Brett_(general)  restingPlace  Winter_Park,_Florida ",43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",1
17366,"George_Brett_(general)  battle  World_War_II George_Brett_(general)  restingPlace  Winter_Park,_Florida ",43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",2
17366,"George_Brett_(general)  battle  World_War_II George_Brett_(general)  restingPlace  Winter_Park,_Florida ",43,"Give me the name of a person who died or fought in WW2, and his/her resting place ? ",2
33855,Rocky_(film_series)  director  Sylvester_Stallone Rocky_(film_series)  starring  Sylvester_Stallone Sylvester_Stallone  religion  Catholicism ,897,"Give me the name a movie that is directed by one of its stars, and the religion of the director ? ",1
33855,Rocky_(film_series)  director  Sylvester_Stallone Rocky_(film_series)  starring  Sylvester_Stallone Sylvester_Stallone  religion  Catholicism ,897,"Give me the name a movie that is directed by one of its stars, and the religion of the director ? ",1
33855,Rocky_(film_series)  director  Sylvester_Stallone Rocky_(film_series)  starring  Sylvester_Stallone Sylvester_Stallone  religion  Catholicism ,897,"Give me the name a movie that is directed by one of its stars, and the religion of the director ? ",1
33855,Rocky_(film_series)  director  Sylvester_Stallone Rocky_(film_series)  starring  Sylvester_Stallone Sylvester_Stallone  religion  Catholicism ,897,"Give me the name a movie that is directed by one of its stars, and the religion of the director ? ",1
33855,Rocky_(film_series)  director  Sylvester_Stallone Rocky_(film_series)  starring  Sylvester_Stallone Sylvester_Stallone  religion  Catholicism ,897,"Give me the name a movie that is directed by one of its stars, and the religion of the director ? ",1
"33476, 33538, 33546, 33556, 33566, 33636, 33646, 33656",The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter Harold_Pinter  influencedBy  William_Shakespeare Harold_Pinter  influencedBy  William_Shakespeare ,896,Give me the name of two actors who are influenced by the same person ? ,2
"33476, 33538, 33546, 33556, 33566, 33636, 33646, 33656",The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter Harold_Pinter  influencedBy  William_Shakespeare Harold_Pinter  influencedBy  William_Shakespeare ,896,Give me the name of two actors who are influenced by the same person ? ,1
"33476, 33538, 33546, 33556, 33566, 33636, 33646, 33656",The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter Harold_Pinter  influencedBy  William_Shakespeare Harold_Pinter  influencedBy  William_Shakespeare ,896,Give me the name of two actors who are influenced by the same person ? ,2
"33476, 33538, 33546, 33556, 33566, 33636, 33646, 33656",The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter Harold_Pinter  influencedBy  William_Shakespeare Harold_Pinter  influencedBy  William_Shakespeare ,896,Give me the name of two actors who are influenced by the same person ? ,2
"33476, 33538, 33546, 33556, 33566, 33636, 33646, 33656",The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter The_Rise_and_Rise_of_Michael_Rimmer  starring  Harold_Pinter Harold_Pinter  influencedBy  William_Shakespeare Harold_Pinter  influencedBy  William_Shakespeare ,896,Give me the name of two actors who are influenced by the same person ? ,1
