Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less duplicates
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x is a better
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,List are the same
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,is most variaility
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,Y is more diverse.
27,List of Mathmaticians ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y set is a better
27,List of Mathmaticians ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
27,List of Mathmaticians ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Relevance-only Approach,it's better
28,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,Universities from more country in Y
28,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,they have equally number of universities.
28,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,Y is more diverse.
29,List of classical music composers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
29,List of classical music composers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
29,List of classical music composers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is a better
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y set is a better
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,it's better
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,List are the same
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,Both fully answer the question.
32,List of award-winning spielberg movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
32,List of award-winning spielberg movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,Y best
32,List of award-winning spielberg movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y set is a better
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x set is a better
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less duplicates
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,it's better
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,List are the same
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is a better
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,they have got same number of team manager city
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,the same list answer the question
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
36,List of employees and their alma maters ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is a better
37,List of softwares ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
37,List of softwares ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,X and Y both answer the question
37,List of softwares ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
38,List of Philosophers ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,both fully answer the question
38,List of Philosophers ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
38,List of Philosophers ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
39,List of people interested in History ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
39,List of people interested in History ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
39,List of people interested in History ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,X and Y both answer the question
40,List of people influenced by Freud ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
40,List of people influenced by Freud ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,"y - less duplicates, but smth is wrong with word by"
40,List of people influenced by Freud ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,X and Y both answer the question
41,List of art directors ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,ыфьу
41,List of art directors ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
41,List of art directors ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,X and Y both answer the question
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less duplicates
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,X and Y both answer the question
44,List of award-winning cartoonists ? ,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
44,List of award-winning cartoonists ? ,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,is most variablity
44,List of award-winning cartoonists ? ,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,Both fully answer the question.
45,List of novelists ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,y better
45,List of novelists ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
45,List of novelists ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,X is more diverse.
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less dublicates
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,"In Y, we see a variety ofexecutive"
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,none answer the question
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Relevance-only Approach,y - not only Charlie
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Relevance-only Approach,"In Y, we see a variety of Charles chaplin"
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,the same list answer the question
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,Both fully answer the question.
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less duplicates
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is more diverse.
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is a better
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
188,List of black comedy movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,the same list answer the question
188,List of black comedy movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,Both fully answer the question.
188,List of black comedy movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
189,List of Tom Hanks movies ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,List are the same
189,List of Tom Hanks movies ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,Both fully answer the question and are the same.
189,List of Tom Hanks movies ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
190,List of rock music singers from Ottawa ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
190,List of rock music singers from Ottawa ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,List are only canadian singer
190,List of rock music singers from Ottawa ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x is a better
191,List of WB shows ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,List are the same
191,List of WB shows ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,X is more diverse.
191,List of WB shows ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x - less duplicates
192,List of producers who worked with De Niro ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y has got more producers
192,List of producers who worked with De Niro ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,same
192,List of producers who worked with De Niro ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,the same list answer the question
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y set is a better
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is more diverse.
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y is a better
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,x  is more diverse.
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,X and Y both answer the question
196,List of Australian comedy shows ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,Knowledge-graph-based Diversity Approach,"x's stars are from different tv shows. in y, funky squad has 3 stars."
196,List of Australian comedy shows ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,same
196,List of Australian comedy shows ?,Extended triple-pattern queries with many results,Knowledge-graph-based Diversity Approach,Relevance-only Approach,same,the same list answer the question
197,List of law school institutions ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,y - less duplicates
197,List of law school institutions ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,dont repeat
197,List of law school institutions ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,Knowledge-graph-based Diversity Approach,X is Harvard
198,List of Oxford graduates ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,List are the same
198,List of Oxford graduates ?,Extended triple-pattern queries with many results,Relevance-only Approach,Knowledge-graph-based Diversity Approach,same,Both fully answer the question and are the same.
