Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,same
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,same all
24,List of people who worked with Kevin Bacon ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,"X and Y answer the question accurately. In the List of people who worked with Kevin Bacon. However, if you hover over the answers, you can see that in both sets refers to the list of people who worked with Kevin Baconen X and Y are all varied and diverse. List of people who worked with Kevin Bacon. However, in X and Y the list is varied and responds with precision. For this reason, the set X and Y is equal and is precise. Therefore, X and Y are the same."
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,same,ambas son Lista de los ríos que tienen el mismo país de origen como el Amazonas de
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,same,same gits
25,List of rivers that have the same source country as the Amazon's ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,same,same
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,Relevance-only Approach,More famous
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,Relevance-only Approach,X contains a list of all universities. whereas y contains names of colleges.. Not all list members are not universities. So the x is better choice.
26,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,Relevance-only Approach,more relevant
27,List of Mathmaticians ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,both have mathematicians
27,List of Mathmaticians ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,Both work
27,List of Mathmaticians ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,"X and Y answer the question accurately. In the Mathmaticians List The different names in both sets. However, if you hover over the answers, you can see that in the Mathmaticians List is varied in X they are field and very diverse. However, the List of Mathmaticians in X and Y are of equal periods of time. For this reason, the set X and Y is varied. Therefore, X and Y are the same."
28,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,Text-based Diversity Approach,more countries included
28,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,Text-based Diversity Approach,it has different countries
28,List of universities ?,Triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,same,"X and Y answer the question accurately. In the List of Universities. However, if you hover over the answers, you can see that in both sets refers to the List of Universities X and Y are all varied and diverse. List of Universities. However, in X and Y the list is varied and responds with precision. For this reason, the set X and Y is equal and is precise. Therefore, X and Y are the same."
29,List of classical music composers ?,Extended triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,Text-based Diversity Approach,mozarrt
29,List of classical music composers ?,Extended triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,Text-based Diversity Approach,diversified
29,List of classical music composers ?,Extended triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,Text-based Diversity Approach,x
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,same
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,Both work
30,List of movies for which the directors and the actors have won awards ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,"X and Y answer the question accurately. In the List of films for which the directors and the actors have won prizes. However, if you hover over the answers, you can see that in both sets refers to the List of movies for which the directors and actors have won prizes in X and Y are all varied and various prizes in X the prizes are Less known and in Y more known. List of films for which directors and actors have won awards. However, in X and Y the list is diverse and responds with precision. For this reason, the set X and Y is equal and is precise. Therefore, X and Y are the same."
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,Text-based Diversity Approach,More relevant
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,Text-based Diversity Approach,x
31,List of late award-winning chemists ?,Triple-pattern queries with many results,Text-based Diversity Approach,Relevance-only Approach,same,tanto en la lista X como en la lista Y podemos ver Lista de finales de los premiados químicos
32,List of award-winning spielberg movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Text-based Diversity Approach,Text-based Diversity Approach,More different results
